"id";"year";"round";"series";"tmIDWinner";"lgIDWinner";"tmIDLoser";"lgIDLoser";"W";"L"
384;1990;"CFR";"L";"DET";"NBA";"ATL";"NBA";3;2
385;1990;"CSF";"M";"CHI";"NBA";"PHI";"NBA";4;1
386;1990;"CSF";"M";"DET";"NBA";"BOS";"NBA";4;2
387;1990;"F";"O";"CHI";"NBA";"LAL";"NBA";4;1
388;1990;"CF";"N";"LAL";"NBA";"POR";"NBA";4;2
389;1990;"CFR";"L";"LAL";"NBA";"HOU";"NBA";3;0
390;1990;"CFR";"L";"GSW";"NBA";"SAS";"NBA";3;1
391;1990;"CFR";"L";"UTA";"NBA";"PHO";"NBA";3;1
392;1990;"CFR";"L";"POR";"NBA";"SEA";"NBA";3;2
393;1990;"CSF";"M";"LAL";"NBA";"GSW";"NBA";4;1
394;1990;"CSF";"M";"POR";"NBA";"UTA";"NBA";4;1
395;1991;"CF";"N";"CHI";"NBA";"CLE";"NBA";4;2
396;1991;"CFR";"L";"BOS";"NBA";"IND";"NBA";3;0
397;1991;"CFR";"L";"CHI";"NBA";"MIA";"NBA";3;0
398;1991;"CFR";"L";"CLE";"NBA";"NJN";"NBA";3;1
399;1991;"CFR";"L";"NYK";"NBA";"DET";"NBA";3;2
400;1991;"CSF";"M";"CHI";"NBA";"NYK";"NBA";4;3
401;1991;"CSF";"M";"CLE";"NBA";"BOS";"NBA";4;3
402;1991;"F";"O";"CHI";"NBA";"POR";"NBA";4;2
403;1991;"CF";"N";"POR";"NBA";"UTA";"NBA";4;2
404;1991;"CFR";"L";"PHO";"NBA";"SAS";"NBA";3;0
405;1991;"CFR";"L";"POR";"NBA";"LAL";"NBA";3;1
406;1991;"CFR";"L";"SEA";"NBA";"GSW";"NBA";3;1
407;1991;"CFR";"L";"UTA";"NBA";"LAC";"NBA";3;2
408;1991;"CSF";"M";"POR";"NBA";"PHO";"NBA";4;1
409;1991;"CSF";"M";"UTA";"NBA";"SEA";"NBA";4;1
410;1992;"CF";"N";"CHI";"NBA";"NYK";"NBA";4;2
411;1992;"CFR";"L";"CHI";"NBA";"ATL";"NBA";3;0
412;1992;"CFR";"L";"CHH";"NBA";"BOS";"NBA";3;1
413;1992;"CFR";"L";"NYK";"NBA";"IND";"NBA";3;1
414;1992;"CFR";"L";"CLE";"NBA";"NJN";"NBA";3;2
415;1992;"CSF";"M";"CHI";"NBA";"CLE";"NBA";4;0
416;1992;"CSF";"M";"NYK";"NBA";"CHH";"NBA";4;1
417;1992;"F";"O";"CHI";"NBA";"PHO";"NBA";4;2
418;1992;"CF";"N";"PHO";"NBA";"SEA";"NBA";4;3
419;1992;"CFR";"L";"SAS";"NBA";"POR";"NBA";3;1
420;1992;"CFR";"L";"HOU";"NBA";"LAC";"NBA";3;2
421;1992;"CFR";"L";"PHO";"NBA";"LAL";"NBA";3;2
422;1992;"CFR";"L";"SEA";"NBA";"UTA";"NBA";3;2
423;1992;"CSF";"M";"PHO";"NBA";"SAS";"NBA";4;2
424;1992;"CSF";"M";"SEA";"NBA";"HOU";"NBA";4;3
425;1993;"CF";"N";"NYK";"NBA";"IND";"NBA";4;3
426;1993;"CFR";"L";"CHI";"NBA";"CLE";"NBA";3;0
427;1993;"CFR";"L";"IND";"NBA";"ORL";"NBA";3;0
428;1993;"CFR";"L";"NYK";"NBA";"NJN";"NBA";3;1
429;1993;"CFR";"L";"ATL";"NBA";"MIA";"NBA";3;2
430;1993;"CSF";"M";"IND";"NBA";"ATL";"NBA";4;2
431;1993;"CSF";"M";"NYK";"NBA";"CHI";"NBA";4;3
432;1993;"F";"O";"HOU";"NBA";"NYK";"NBA";4;3
433;1993;"CF";"N";"HOU";"NBA";"UTA";"NBA";4;1
434;1993;"CFR";"L";"PHO";"NBA";"GSW";"NBA";3;0
435;1993;"CFR";"L";"HOU";"NBA";"POR";"NBA";3;1
436;1993;"CFR";"L";"UTA";"NBA";"SAS";"NBA";3;1
437;1993;"CFR";"L";"DEN";"NBA";"SEA";"NBA";3;2
438;1993;"CSF";"M";"HOU";"NBA";"PHO";"NBA";4;3
439;1993;"CSF";"M";"UTA";"NBA";"DEN";"NBA";4;3
440;1994;"CF";"N";"ORL";"NBA";"IND";"NBA";4;3
441;1994;"CFR";"L";"IND";"NBA";"ATL";"NBA";3;0
442;1994;"CFR";"L";"CHI";"NBA";"CHH";"NBA";3;1
443;1994;"CFR";"L";"NYK";"NBA";"CLE";"NBA";3;1
444;1994;"CFR";"L";"ORL";"NBA";"BOS";"NBA";3;1
445;1994;"CSF";"M";"ORL";"NBA";"CHI";"NBA";4;2
446;1994;"CSF";"M";"IND";"NBA";"NYK";"NBA";4;3
447;1994;"F";"O";"HOU";"NBA";"ORL";"NBA";4;0
448;1994;"CF";"N";"HOU";"NBA";"SAS";"NBA";4;2
449;1994;"CFR";"L";"PHO";"NBA";"POR";"NBA";3;0
450;1994;"CFR";"L";"SAS";"NBA";"DEN";"NBA";3;0
451;1994;"CFR";"L";"LAL";"NBA";"SEA";"NBA";3;1
452;1994;"CFR";"L";"HOU";"NBA";"UTA";"NBA";3;2
453;1994;"CSF";"M";"SAS";"NBA";"LAL";"NBA";4;2
454;1994;"CSF";"M";"HOU";"NBA";"PHO";"NBA";4;3
455;1995;"CF";"N";"CHI";"NBA";"ORL";"NBA";4;0
456;1995;"CFR";"L";"CHI";"NBA";"MIA";"NBA";3;0
457;1995;"CFR";"L";"NYK";"NBA";"CLE";"NBA";3;0
458;1995;"CFR";"L";"ORL";"NBA";"DET";"NBA";3;0
459;1995;"CFR";"L";"ATL";"NBA";"IND";"NBA";3;2
460;1995;"CSF";"M";"CHI";"NBA";"NYK";"NBA";4;1
461;1995;"CSF";"M";"ORL";"NBA";"ATL";"NBA";4;1
462;1995;"F";"O";"CHI";"NBA";"SEA";"NBA";4;2
463;1995;"CF";"N";"SEA";"NBA";"UTA";"NBA";4;3
464;1995;"CFR";"L";"HOU";"NBA";"LAL";"NBA";3;1
465;1995;"CFR";"L";"SAS";"NBA";"PHO";"NBA";3;1
466;1995;"CFR";"L";"SEA";"NBA";"SAC";"NBA";3;1
467;1995;"CFR";"L";"UTA";"NBA";"POR";"NBA";3;2
468;1995;"CSF";"M";"SEA";"NBA";"HOU";"NBA";4;0
469;1995;"CSF";"M";"UTA";"NBA";"SAS";"NBA";4;2
470;1996;"CF";"N";"CHI";"NBA";"MIA";"NBA";4;1
471;1996;"CFR";"L";"CHI";"NBA";"WSB";"NBA";3;0
472;1996;"CFR";"L";"NYK";"NBA";"CHH";"NBA";3;0
473;1996;"CFR";"L";"ATL";"NBA";"DET";"NBA";3;2
474;1996;"CFR";"L";"MIA";"NBA";"ORL";"NBA";3;2
475;1996;"CSF";"M";"CHI";"NBA";"ATL";"NBA";4;1
476;1996;"CSF";"M";"MIA";"NBA";"NYK";"NBA";4;3
477;1996;"F";"O";"CHI";"NBA";"UTA";"NBA";4;2
478;1996;"CF";"N";"UTA";"NBA";"HOU";"NBA";4;2
479;1996;"CFR";"L";"HOU";"NBA";"MIN";"NBA";3;0
480;1996;"CFR";"L";"UTA";"NBA";"LAC";"NBA";3;0
481;1996;"CFR";"L";"LAL";"NBA";"POR";"NBA";3;1
482;1996;"CFR";"L";"SEA";"NBA";"PHO";"NBA";3;2
483;1996;"CSF";"M";"UTA";"NBA";"LAL";"NBA";4;1
484;1996;"CSF";"M";"HOU";"NBA";"SEA";"NBA";4;3
485;1997;"CF";"N";"CHI";"NBA";"IND";"NBA";4;3
486;1997;"CFR";"L";"CHI";"NBA";"NJN";"NBA";3;0
487;1997;"CFR";"L";"CHH";"NBA";"ATL";"NBA";3;1
488;1997;"CFR";"L";"IND";"NBA";"CLE";"NBA";3;1
489;1997;"CFR";"L";"NYK";"NBA";"MIA";"NBA";3;2
490;1997;"CSF";"M";"CHI";"NBA";"CHH";"NBA";4;1
491;1997;"CSF";"M";"IND";"NBA";"NYK";"NBA";4;1
492;1997;"F";"O";"CHI";"NBA";"UTA";"NBA";4;2
493;1997;"CF";"N";"UTA";"NBA";"LAL";"NBA";4;0
494;1997;"CFR";"L";"LAL";"NBA";"POR";"NBA";3;1
495;1997;"CFR";"L";"SAS";"NBA";"PHO";"NBA";3;1
496;1997;"CFR";"L";"SEA";"NBA";"MIN";"NBA";3;2
497;1997;"CFR";"L";"UTA";"NBA";"HOU";"NBA";3;2
498;1997;"CSF";"M";"LAL";"NBA";"SEA";"NBA";4;1
499;1997;"CSF";"M";"UTA";"NBA";"SAS";"NBA";4;1
500;1998;"CF";"N";"NYK";"NBA";"IND";"NBA";4;2
501;1998;"CFR";"L";"IND";"NBA";"MIL";"NBA";3;0
502;1998;"CFR";"L";"PHI";"NBA";"ORL";"NBA";3;1
503;1998;"CFR";"L";"ATL";"NBA";"DET";"NBA";3;2
504;1998;"CFR";"L";"NYK";"NBA";"MIA";"NBA";3;2
505;1998;"CSF";"M";"IND";"NBA";"PHI";"NBA";4;0
506;1998;"CSF";"M";"NYK";"NBA";"ATL";"NBA";4;0
507;1998;"F";"O";"SAS";"NBA";"NYK";"NBA";4;1
508;1998;"CF";"N";"SAS";"NBA";"POR";"NBA";4;0
509;1998;"CFR";"L";"POR";"NBA";"PHO";"NBA";3;0
510;1998;"CFR";"L";"LAL";"NBA";"HOU";"NBA";3;1
511;1998;"CFR";"L";"SAS";"NBA";"MIN";"NBA";3;1
512;1998;"CFR";"L";"UTA";"NBA";"SAC";"NBA";3;2
513;1998;"CSF";"M";"SAS";"NBA";"LAL";"NBA";4;0
514;1998;"CSF";"M";"POR";"NBA";"UTA";"NBA";4;2
515;1999;"CF";"N";"IND";"NBA";"NYK";"NBA";4;2
516;1999;"CFR";"L";"MIA";"NBA";"DET";"NBA";3;0
517;1999;"CFR";"L";"NYK";"NBA";"TOR";"NBA";3;0
518;1999;"CFR";"L";"PHI";"NBA";"CHH";"NBA";3;1
519;1999;"CFR";"L";"IND";"NBA";"MIL";"NBA";3;2
520;1999;"CSF";"M";"IND";"NBA";"PHI";"NBA";4;2
521;1999;"CSF";"M";"NYK";"NBA";"MIA";"NBA";4;3
522;1999;"F";"O";"LAL";"NBA";"IND";"NBA";4;2
523;1999;"CF";"N";"LAL";"NBA";"POR";"NBA";4;3
524;1999;"CFR";"L";"PHO";"NBA";"SAS";"NBA";3;1
525;1999;"CFR";"L";"POR";"NBA";"MIN";"NBA";3;1
526;1999;"CFR";"L";"LAL";"NBA";"SAC";"NBA";3;2
527;1999;"CFR";"L";"UTA";"NBA";"SEA";"NBA";3;2
528;1999;"CSF";"M";"LAL";"NBA";"PHO";"NBA";4;1
529;1999;"CSF";"M";"POR";"NBA";"UTA";"NBA";4;1
530;2000;"CF";"N";"PHI";"NBA";"MIL";"NBA";4;3
531;2000;"CFR";"L";"CHH";"NBA";"MIA";"NBA";3;0
532;2000;"CFR";"L";"MIL";"NBA";"ORL";"NBA";3;1
533;2000;"CFR";"L";"PHI";"NBA";"IND";"NBA";3;1
534;2000;"CFR";"L";"TOR";"NBA";"NYK";"NBA";3;2
535;2000;"CSF";"M";"MIL";"NBA";"CHH";"NBA";4;3
536;2000;"CSF";"M";"PHI";"NBA";"TOR";"NBA";4;3
537;2000;"F";"O";"LAL";"NBA";"PHI";"NBA";4;1
538;2000;"CF";"N";"LAL";"NBA";"SAS";"NBA";4;0
539;2000;"CFR";"L";"LAL";"NBA";"POR";"NBA";3;0
540;2000;"CFR";"L";"SAC";"NBA";"PHO";"NBA";3;1
541;2000;"CFR";"L";"SAS";"NBA";"MIN";"NBA";3;1
542;2000;"CFR";"L";"DAL";"NBA";"UTA";"NBA";3;2
543;2000;"CSF";"M";"LAL";"NBA";"SAC";"NBA";4;0
544;2000;"CSF";"M";"SAS";"NBA";"DAL";"NBA";4;1
545;2001;"CF";"N";"NJN";"NBA";"BOS";"NBA";4;2
546;2001;"CFR";"L";"CHH";"NBA";"ORL";"NBA";3;1
547;2001;"CFR";"L";"BOS";"NBA";"PHI";"NBA";3;2
548;2001;"CFR";"L";"DET";"NBA";"TOR";"NBA";3;2
549;2001;"CFR";"L";"NJN";"NBA";"IND";"NBA";3;2
550;2001;"CSF";"M";"BOS";"NBA";"DET";"NBA";4;1
551;2001;"CSF";"M";"NJN";"NBA";"CHH";"NBA";4;1
552;2001;"F";"O";"LAL";"NBA";"NJN";"NBA";4;0
553;2001;"CF";"N";"LAL";"NBA";"SAC";"NBA";4;3
554;2001;"CFR";"L";"DAL";"NBA";"MIN";"NBA";3;0
555;2001;"CFR";"L";"LAL";"NBA";"POR";"NBA";3;0
556;2001;"CFR";"L";"SAC";"NBA";"UTA";"NBA";3;1
557;2001;"CFR";"L";"SAS";"NBA";"SEA";"NBA";3;2
558;2001;"CSF";"M";"LAL";"NBA";"SAS";"NBA";4;1
559;2001;"CSF";"M";"SAC";"NBA";"DAL";"NBA";4;1
560;2002;"CF";"N";"NJN";"NBA";"DET";"NBA";4;0
561;2002;"CFR";"L";"BOS";"NBA";"IND";"NBA";4;2
562;2002;"CFR";"L";"NJN";"NBA";"MIL";"NBA";4;2
563;2002;"CFR";"L";"PHI";"NBA";"NOH";"NBA";4;2
564;2002;"CFR";"L";"DET";"NBA";"ORL";"NBA";4;3
565;2002;"CSF";"M";"NJN";"NBA";"BOS";"NBA";4;0
566;2002;"CSF";"M";"DET";"NBA";"PHI";"NBA";4;2
567;2002;"F";"O";"SAS";"NBA";"NJN";"NBA";4;2
568;2002;"CF";"N";"SAS";"NBA";"DAL";"NBA";4;2
569;2002;"CFR";"L";"SAC";"NBA";"UTA";"NBA";4;1
570;2002;"CFR";"L";"LAL";"NBA";"MIN";"NBA";4;2
571;2002;"CFR";"L";"SAS";"NBA";"PHO";"NBA";4;2
572;2002;"CFR";"L";"DAL";"NBA";"POR";"NBA";4;3
573;2002;"CSF";"M";"SAS";"NBA";"LAL";"NBA";4;2
574;2002;"CSF";"M";"DAL";"NBA";"SAC";"NBA";4;3
575;2003;"CF";"N";"DET";"NBA";"IND";"NBA";4;2
576;2003;"CFR";"L";"IND";"NBA";"BOS";"NBA";4;0
577;2003;"CFR";"L";"NJN";"NBA";"NYK";"NBA";4;0
578;2003;"CFR";"L";"DET";"NBA";"MIL";"NBA";4;1
579;2003;"CFR";"L";"MIA";"NBA";"NOH";"NBA";4;3
580;2003;"CSF";"M";"IND";"NBA";"MIA";"NBA";4;2
581;2003;"CSF";"M";"DET";"NBA";"NJN";"NBA";4;3
582;2003;"F";"O";"DET";"NBA";"LAL";"NBA";4;1
583;2003;"CF";"N";"LAL";"NBA";"MIN";"NBA";4;2
584;2003;"CFR";"L";"SAS";"NBA";"MEM";"NBA";4;0
585;2003;"CFR";"L";"LAL";"NBA";"HOU";"NBA";4;1
586;2003;"CFR";"L";"MIN";"NBA";"DEN";"NBA";4;1
587;2003;"CFR";"L";"SAC";"NBA";"DAL";"NBA";4;1
588;2003;"CSF";"M";"LAL";"NBA";"SAS";"NBA";4;2
589;2003;"CSF";"M";"MIN";"NBA";"SAC";"NBA";4;3
590;2004;"CF";"N";"DET";"NBA";"MIA";"NBA";4;3
591;2004;"CFR";"L";"MIA";"NBA";"NJN";"NBA";4;0
592;2004;"CFR";"L";"DET";"NBA";"PHI";"NBA";4;1
593;2004;"CFR";"L";"WAS";"NBA";"CHI";"NBA";4;2
594;2004;"CFR";"L";"IND";"NBA";"BOS";"NBA";4;3
595;2004;"CSF";"M";"MIA";"NBA";"WAS";"NBA";4;0
596;2004;"CSF";"M";"DET";"NBA";"IND";"NBA";4;2
597;2004;"F";"O";"SAS";"NBA";"DET";"NBA";4;3
598;2004;"CF";"N";"SAS";"NBA";"PHO";"NBA";4;1
599;2004;"CFR";"L";"PHO";"NBA";"MEM";"NBA";4;0
600;2004;"CFR";"L";"SAS";"NBA";"DEN";"NBA";4;1
601;2004;"CFR";"L";"SEA";"NBA";"SAC";"NBA";4;1
602;2004;"CFR";"L";"DAL";"NBA";"HOU";"NBA";4;3
603;2004;"CSF";"M";"PHO";"NBA";"DAL";"NBA";4;2
604;2004;"CSF";"M";"SAS";"NBA";"SEA";"NBA";4;2
605;2005;"CF";"N";"MIA";"NBA";"DET";"NBA";4;2
606;2005;"CFR";"L";"DET";"NBA";"MIL";"NBA";4;1
607;2005;"CFR";"L";"CLE";"NBA";"WAS";"NBA";4;2
608;2005;"CFR";"L";"MIA";"NBA";"CHI";"NBA";4;2
609;2005;"CFR";"L";"NJN";"NBA";"IND";"NBA";4;2
610;2005;"CSF";"M";"MIA";"NBA";"NJN";"NBA";4;1
611;2005;"CSF";"M";"DET";"NBA";"CLE";"NBA";4;3
612;2005;"F";"O";"MIA";"NBA";"DAL";"NBA";4;2
613;2005;"CF";"N";"DAL";"NBA";"PHO";"NBA";4;2
614;2005;"CFR";"L";"DAL";"NBA";"MEM";"NBA";4;0
615;2005;"CFR";"L";"LAC";"NBA";"DEN";"NBA";4;1
616;2005;"CFR";"L";"SAS";"NBA";"SAC";"NBA";4;2
617;2005;"CFR";"L";"PHO";"NBA";"LAL";"NBA";4;3
618;2005;"CSF";"M";"DAL";"NBA";"SAS";"NBA";4;3
619;2005;"CSF";"M";"PHO";"NBA";"LAC";"NBA";4;3
620;2006;"CF";"N";"CLE";"NBA";"DET";"NBA";4;2
621;2006;"CFR";"L";"CHI";"NBA";"MIA";"NBA";4;0
622;2006;"CFR";"L";"CLE";"NBA";"WAS";"NBA";4;0
623;2006;"CFR";"L";"DET";"NBA";"ORL";"NBA";4;0
624;2006;"CFR";"L";"NJN";"NBA";"TOR";"NBA";4;2
625;2006;"CSF";"M";"CLE";"NBA";"NJN";"NBA";4;2
626;2006;"CSF";"M";"DET";"NBA";"CHI";"NBA";4;2
627;2006;"F";"O";"SAS";"NBA";"CLE";"NBA";4;0
628;2006;"CF";"N";"SAS";"NBA";"UTA";"NBA";4;1
629;2006;"CFR";"L";"PHO";"NBA";"LAL";"NBA";4;1
630;2006;"CFR";"L";"SAS";"NBA";"DEN";"NBA";4;1
631;2006;"CFR";"L";"GSW";"NBA";"DAL";"NBA";4;2
632;2006;"CFR";"L";"UTA";"NBA";"HOU";"NBA";4;3
633;2006;"CSF";"M";"UTA";"NBA";"GSW";"NBA";4;1
634;2006;"CSF";"M";"SAS";"NBA";"PHO";"NBA";4;2
635;2007;"CF";"N";"BOS";"NBA";"DET";"NBA";4;2
636;2007;"CFR";"L";"ORL";"NBA";"TOR";"NBA";4;1
637;2007;"CFR";"L";"CLE";"NBA";"WAS";"NBA";4;2
638;2007;"CFR";"L";"DET";"NBA";"PHI";"NBA";4;2
639;2007;"CFR";"L";"BOS";"NBA";"ATL";"NBA";4;3
640;2007;"CSF";"M";"DET";"NBA";"ORL";"NBA";4;1
641;2007;"CSF";"M";"BOS";"NBA";"CLE";"NBA";4;3
642;2007;"F";"O";"BOS";"NBA";"LAL";"NBA";4;2
643;2007;"CF";"N";"LAL";"NBA";"SAS";"NBA";4;1
644;2007;"CFR";"L";"LAL";"NBA";"DEN";"NBA";4;0
645;2007;"CFR";"L";"NOH";"NBA";"DAL";"NBA";4;1
646;2007;"CFR";"L";"SAS";"NBA";"PHO";"NBA";4;1
647;2007;"CFR";"L";"UTA";"NBA";"HOU";"NBA";4;2
648;2007;"CSF";"M";"LAL";"NBA";"UTA";"NBA";4;2
649;2007;"CSF";"M";"SAS";"NBA";"NOH";"NBA";4;3
650;2008;"CF";"N";"ORL";"NBA";"CLE";"NBA";4;2
651;2008;"CFR";"L";"CLE";"NBA";"DET";"NBA";4;0
652;2008;"CFR";"L";"ORL";"NBA";"PHI";"NBA";4;2
653;2008;"CFR";"L";"ATL";"NBA";"MIA";"NBA";4;3
654;2008;"CFR";"L";"BOS";"NBA";"CHI";"NBA";4;3
655;2008;"CSF";"M";"CLE";"NBA";"ATL";"NBA";4;0
656;2008;"CSF";"M";"ORL";"NBA";"BOS";"NBA";4;3
657;2008;"F";"O";"LAL";"NBA";"ORL";"NBA";4;1
658;2008;"CF";"N";"LAL";"NBA";"DEN";"NBA";4;2
659;2008;"CFR";"L";"DAL";"NBA";"SAS";"NBA";4;1
660;2008;"CFR";"L";"DEN";"NBA";"NOH";"NBA";4;1
661;2008;"CFR";"L";"LAL";"NBA";"UTA";"NBA";4;1
662;2008;"CFR";"L";"HOU";"NBA";"POR";"NBA";4;2
663;2008;"CSF";"M";"DEN";"NBA";"DAL";"NBA";4;1
664;2008;"CSF";"M";"LAL";"NBA";"HOU";"NBA";4;3
665;2009;"CF";"N";"BOS";"NBA";"ORL";"NBA";4;2
666;2009;"CFR";"L";"ORL";"NBA";"CHA";"NBA";4;0
667;2009;"CFR";"L";"BOS";"NBA";"MIA";"NBA";4;1
668;2009;"CFR";"L";"CLE";"NBA";"CHI";"NBA";4;1
669;2009;"CFR";"L";"ATL";"NBA";"MIL";"NBA";4;3
670;2009;"CSF";"M";"ORL";"NBA";"ATL";"NBA";4;0
671;2009;"CSF";"M";"BOS";"NBA";"CLE";"NBA";4;2
672;2009;"F";"O";"LAL";"NBA";"BOS";"NBA";4;3
673;2009;"CF";"N";"LAL";"NBA";"PHO";"NBA";4;2
674;2009;"CFR";"L";"LAL";"NBA";"OKC";"NBA";4;2
675;2009;"CFR";"L";"PHO";"NBA";"POR";"NBA";4;2
676;2009;"CFR";"L";"SAS";"NBA";"DAL";"NBA";4;2
677;2009;"CFR";"L";"UTA";"NBA";"DEN";"NBA";4;2
678;2009;"CSF";"M";"LAL";"NBA";"UTA";"NBA";4;0
679;2009;"CSF";"M";"PHO";"NBA";"SAS";"NBA";4;0
680;2010;"CF";"N";"MIA";"NBA";"CHI";"NBA";4;1
681;2010;"CFR";"L";"BOS";"NBA";"NYK";"NBA";4;0
682;2010;"CFR";"L";"CHI";"NBA";"IND";"NBA";4;1
683;2010;"CFR";"L";"MIA";"NBA";"PHI";"NBA";4;1
684;2010;"CFR";"L";"ATL";"NBA";"ORL";"NBA";4;2
685;2010;"CSF";"M";"MIA";"NBA";"BOS";"NBA";4;1
686;2010;"CSF";"M";"CHI";"NBA";"ATL";"NBA";4;2
687;2010;"F";"O";"DAL";"NBA";"MIA";"NBA";4;2
688;2010;"CF";"N";"DAL";"NBA";"OKC";"NBA";4;1
689;2010;"CFR";"L";"OKC";"NBA";"DEN";"NBA";4;1
690;2010;"CFR";"L";"DAL";"NBA";"POR";"NBA";4;2
691;2010;"CFR";"L";"LAL";"NBA";"NOH";"NBA";4;2
692;2010;"CFR";"L";"MEM";"NBA";"SAS";"NBA";4;2
693;2010;"CSF";"M";"DAL";"NBA";"LAL";"NBA";4;0
694;2010;"CSF";"M";"OKC";"NBA";"MEM";"NBA";4;3
695;2011;"CF";"N";"MIA";"NBA";"BOS";"NBA";4;3
696;2011;"CFR";"L";"IND";"NBA";"ORL";"NBA";4;1
697;2011;"CFR";"L";"MIA";"NBA";"NYK";"NBA";4;1
698;2011;"CFR";"L";"BOS";"NBA";"ATL";"NBA";4;2
699;2011;"CFR";"L";"PHI";"NBA";"CHI";"NBA";4;2
700;2011;"CSF";"M";"MIA";"NBA";"IND";"NBA";4;2
701;2011;"CSF";"M";"BOS";"NBA";"PHI";"NBA";4;3
702;2011;"F";"O";"MIA";"NBA";"OKC";"NBA";4;1
703;2011;"CF";"N";"OKC";"NBA";"SAS";"NBA";4;2
704;2011;"CFR";"L";"OKC";"NBA";"DAL";"NBA";4;0
705;2011;"CFR";"L";"SAS";"NBA";"UTA";"NBA";4;0
706;2011;"CFR";"L";"LAC";"NBA";"MEM";"NBA";4;3
707;2011;"CFR";"L";"LAL";"NBA";"DEN";"NBA";4;3
708;2011;"CSF";"M";"SAS";"NBA";"LAC";"NBA";4;0
709;2011;"CSF";"M";"OKC";"NBA";"LAL";"NBA";4;1
710;1980;"F";"O";"BOS";"NBA";"HOU";"NBA";4;2
711;1986;"F";"O";"LAL";"NBA";"BOS";"NBA";4;2
712;1988;"F";"O";"DET";"NBA";"LAL";"NBA";4;0
713;1967;"F";"D";"PTP";"ABA";"NOB";"ABA";4;3
714;1967;"DF";"C";"PTP";"ABA";"MNM";"ABA";4;1
715;1967;"DF";"C";"NOB";"ABA";"DLC";"ABA";4;1
716;1967;"DSF";"B";"MNM";"ABA";"KEN";"ABA";3;2
717;1967;"DSF";"B";"PTP";"ABA";"INA";"ABA";3;0
718;1967;"DSF";"B";"DLC";"ABA";"HSM";"ABA";3;0
719;1967;"DSF";"B";"NOB";"ABA";"DNR";"ABA";3;2
720;1968;"F";"D";"OAK";"ABA";"INA";"ABA";4;1
721;1968;"DF";"C";"INA";"ABA";"MMF";"ABA";4;1
722;1968;"DF";"C";"OAK";"ABA";"NOB";"ABA";4;0
723;1968;"DSF";"B";"INA";"ABA";"KEN";"ABA";4;3
724;1968;"DSF";"B";"MMF";"ABA";"MNP";"ABA";4;3
725;1968;"DSF";"B";"NOB";"ABA";"DLC";"ABA";4;3
726;1968;"DSF";"B";"OAK";"ABA";"DNR";"ABA";4;3
727;1969;"F";"D";"INA";"ABA";"LAS";"ABA";4;2
728;1969;"DF";"C";"INA";"ABA";"KEN";"ABA";4;1
729;1969;"DF";"C";"LAS";"ABA";"DNR";"ABA";4;1
730;1969;"DSF";"B";"INA";"ABA";"CAR";"ABA";4;0
731;1969;"DSF";"B";"KEN";"ABA";"NYA";"ABA";4;3
732;1969;"DSF";"B";"DNR";"ABA";"WSA";"ABA";4;3
733;1969;"DSF";"B";"LAS";"ABA";"DLC";"ABA";4;2
734;1970;"F";"D";"UTS";"ABA";"KEN";"ABA";4;3
735;1970;"DF";"C";"KEN";"ABA";"VIR";"ABA";4;2
736;1970;"DF";"C";"UTS";"ABA";"INA";"ABA";4;3
737;1970;"DSF";"B";"KEN";"ABA";"FLO";"ABA";4;2
738;1970;"DSF";"B";"VIR";"ABA";"NYA";"ABA";4;2
739;1970;"DSF";"B";"INA";"ABA";"MMP";"ABA";4;0
740;1970;"DSF";"B";"UTS";"ABA";"TEX";"ABA";4;0
741;1970;"DT";"A";"TEX";"ABA";"DNR";"ABA";1;0
742;1971;"F";"D";"INA";"ABA";"NYA";"ABA";4;2
743;1971;"DF";"C";"NYA";"ABA";"VIR";"ABA";4;3
744;1971;"DF";"C";"INA";"ABA";"UTS";"ABA";4;3
745;1971;"DSF";"B";"NYA";"ABA";"KEN";"ABA";4;2
746;1971;"DSF";"B";"VIR";"ABA";"FLO";"ABA";4;0
747;1971;"DSF";"B";"INA";"ABA";"DNR";"ABA";4;3
748;1971;"DSF";"B";"UTS";"ABA";"DLC";"ABA";4;0
749;1972;"F";"D";"INA";"ABA";"KEN";"ABA";4;3
750;1972;"DF";"C";"KEN";"ABA";"CAR";"ABA";4;3
751;1972;"DF";"C";"INA";"ABA";"UTS";"ABA";4;2
752;1972;"DSF";"B";"CAR";"ABA";"NYA";"ABA";4;1
753;1972;"DSF";"B";"KEN";"ABA";"VIR";"ABA";4;1
754;1972;"DSF";"B";"INA";"ABA";"DNR";"ABA";4;1
755;1972;"DSF";"B";"UTS";"ABA";"SDA";"ABA";4;0
756;1973;"F";"D";"NYA";"ABA";"UTS";"ABA";4;1
757;1973;"DF";"C";"NYA";"ABA";"KEN";"ABA";4;0
758;1973;"DF";"C";"UTS";"ABA";"INA";"ABA";4;3
759;1973;"DSF";"B";"KEN";"ABA";"CAR";"ABA";4;0
760;1973;"DSF";"B";"NYA";"ABA";"VIR";"ABA";4;1
761;1973;"DSF";"B";"INA";"ABA";"SAA";"ABA";4;3
762;1973;"DSF";"B";"UTS";"ABA";"SDA";"ABA";4;2
763;1973;"DT";"A";"SDA";"ABA";"DNR";"ABA";1;0
764;1974;"F";"D";"KEN";"ABA";"INA";"ABA";4;1
765;1974;"DF";"C";"KEN";"ABA";"SSL";"ABA";4;1
766;1974;"DF";"C";"INA";"ABA";"DNA";"ABA";4;3
